EXPIRES AT           GROUP     SIZE  PATH
2023-03-19 12:36:21  ek9     200.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm4/18/plt/Turb_hdf5_plt_cnt_0303
2023-03-19 12:36:21  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm250/36/plt/Turb_hdf5_plt_cnt_0304
2023-03-19 12:36:25  ek9      52.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/144/spect/Turb_hdf5_plt_cnt_0604_spect_vels.dat
2023-03-19 12:36:28  ek9     100.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/288/spect/Turb_hdf5_plt_cnt_0708_spect_vels.dat
2023-03-19 12:36:29  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm1/72/plt/Turb_hdf5_plt_cnt_0419
2023-03-19 12:36:31  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpib4qn6uj/tex.cache/fe399cd2b95d812453e1bb8c49c65972.dvi
2023-03-19 12:36:38  ek9      10.0M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/72/plt/Turb_hdf5_plt_cnt_0620
2023-03-19 12:36:40  ek9      52.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm10/144/spect/Turb_hdf5_plt_cnt_0004_spect_mags.dat
2023-03-19 12:36:41  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpfeta9h5z/tex.cache/6a3e862cf4700d85b604db674a08939a.tex
2023-03-19 12:36:42  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpn7f8iwpx/tex.cache/efa2dbd6a7fb3b3ac86671cd54367d3f.tex
2023-03-19 12:36:46  ek9       4.0K  /scratch/ek9/nk7952/.vscode-server/bin/5235c6bb189b60b01b1f49062f4ffa42384f8c91/extensions/ms-vscode.js-debug/src/adapter/console/textualMessage.nls.metadata.json
2023-03-19 12:36:59  ek9     200.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/18/plt/Turb_hdf5_plt_cnt_0687
2023-03-19 12:37:02  ek9      10.0M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm250/72/plt/Turb_hdf5_plt_cnt_0278
2023-03-19 12:37:02  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm5/144/plt/Turb_hdf5_plt_cnt_0402
2023-03-19 12:37:06  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm50/144/plt/Turb_hdf5_plt_cnt_0173
2023-03-19 12:37:06  ek9     638.0M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/288/plt/Turb_hdf5_plt_cnt_0228
2023-03-19 12:37:09  ek9       8.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/18/spect/Turb_hdf5_plt_cnt_0032_spect_vels.dat
2023-03-19 12:37:14  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm10/72/plt/Turb_hdf5_plt_cnt_0335
2023-03-19 12:37:18  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpxqzb422w/tex.cache/377f4685d0790e3103ac0a2a747a274a.tex
2023-03-19 12:37:20  ek9       4.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm2/36/spect/superRm3000Pm2fitFull36.o44088242
2023-03-19 12:37:20  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpn7ixxqou/tex.cache/544d45077b7efc3d737beb68a11af410.tex
2023-03-19 12:37:23  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpwkzi3tim/tex.cache/7fa1e3e7113eb6ddd3359dfb83a2e894.png
2023-03-19 12:37:28  ek9      10.0M  /scratch/ek9/nk7952/Re10/super_sonic/Pm125/72/plt/Turb_hdf5_plt_cnt_0604
2023-03-19 12:37:30  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/144/plt/Turb_hdf5_plt_cnt_0499
2023-03-19 12:37:30  ek9      52.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/144/spect/Turb_hdf5_plt_cnt_0245_spect_mags.dat
2023-03-19 12:37:30  ek9     638.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm5/288/plt/Turb_hdf5_plt_cnt_0801
2023-03-19 12:37:32  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm1/144/plt/Turb_hdf5_plt_cnt_0088
2023-03-19 12:37:34  ek9       1.3M  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/36/plt/Turb_hdf5_plt_cnt_0274
2023-03-19 12:37:38  ek9       4.0K  /scratch/ek9/nk7952/.vscode-server/bin/6261075646f055b99068d3688932416f2346dd3b/node_modules/semver/functions/diff.js
2023-03-19 12:37:40  ek9      28.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm4/72/spect/Turb_hdf5_plt_cnt_0021_spect_mags.dat
